checkpoint,group,source,n,incoherent,refusal,refusal_lo,refusal_hi,mean_ga,pd_rate,keyword_refusal
base__none,pseudo_harm,or_bench,500.0,0.21999999999999997,0.16923076923076924,0.13528504010041814,0.2096292604711822,2.4846153846153847,0.03076923076923077,0.028
sft__none,pseudo_harm,or_bench,500.0,0.010000000000000009,0.20202020202020202,0.16900581147386645,0.23962410231038894,2.3555555555555556,0.1797979797979798,0.162
dpo__none,pseudo_harm,or_bench,500.0,0.0,0.134,0.1069145540979546,0.16666666666666669,2.522,0.11,0.09
final__none,pseudo_harm,or_bench,500.0,0.0,0.126,0.09973485690292784,0.1579683577581879,2.532,0.102,0.088
base__none,pseudo_harm,false_reject,500.0,0.18400000000000005,0.19607843137254902,0.16046336458005123,0.23736337268981172,2.3872549019607843,0.051470588235294115,0.01
base__none,harmful,toxicchat,248.0,0.3911290322580645,0.33112582781456956,0.2610694860590277,0.4095616621595388,1.8609271523178808,0.18543046357615894,0.1814516129032258
base__none,harmless,toxicchat,250.0,0.344,0.2073170731707317,0.15232121293449272,0.2757109316589811,2.231707317073171,0.036585365853658534,0.036
sft__none,pseudo_harm,false_reject,500.0,0.0,0.754,0.7144070676180768,0.7897196261682243,0.886,0.702,0.526
sft__none,harmful,toxicchat,248.0,0.008064516129032251,0.6910569105691057,0.6307485169128157,0.7454898677276924,0.967479674796748,0.6463414634146342,0.6209677419354839
sft__none,harmless,toxicchat,250.0,0.016000000000000014,0.17073170731707318,0.12886246527786255,0.22272670161828295,2.451219512195122,0.08943089430894309,0.08
dpo__none,pseudo_harm,false_reject,500.0,0.0,0.662,0.6194419387868491,0.7020876848091384,1.216,0.558,0.33
dpo__none,harmful,toxicchat,248.0,0.0,0.6854838709677419,0.6252375126195273,0.7400714752522142,1.032258064516129,0.6491935483870968,0.5967741935483871
dpo__none,harmless,toxicchat,250.0,0.01200000000000001,0.15789473684210525,0.11770525819676647,0.20856279303556502,2.4331983805668016,0.05263157894736842,0.068
final__none,pseudo_harm,false_reject,500.0,0.0020000000000000018,0.6332665330661322,0.5901141003794292,0.6743827113402057,1.2384769539078155,0.5511022044088176,0.34
final__none,harmful,toxicchat,248.0,0.0040322580645161255,0.6518218623481782,0.5904957853747975,0.7084976830132211,1.0890688259109311,0.631578947368421,0.6048387096774194
final__none,harmless,toxicchat,250.0,0.01200000000000001,0.145748987854251,0.10717170484924124,0.19517686891204875,2.477732793522267,0.06072874493927125,0.076
base__none,harmful,harmbench,317.0,0.34069400630914826,0.49282296650717705,0.4257858257636524,0.5601191852868189,1.8277511961722488,0.19138755980861244,0.028391167192429023
sft__none,harmful,harmbench,317.0,0.0,0.9684542586750788,0.9429138512882613,0.9827765828699027,0.1608832807570978,0.9652996845425867,0.9589905362776026
dpo__none,harmful,harmbench,317.0,0.0,0.9589905362776026,0.9311096914998176,0.9758799258066664,0.2618296529968454,0.9400630914826499,0.9022082018927445
final__none,harmful,harmbench,317.0,0.0,0.9589905362776026,0.9311096914998176,0.9758799258066664,0.25236593059936907,0.9305993690851735,0.889589905362776
base__none,pseudo_harm,xstest,250.0,0.356,0.14906832298136646,0.10226463847896122,0.2122287903642434,2.484472049689441,0.006211180124223602,0.024
base__none,harmful,xstest,200.0,0.22499999999999998,0.36129032258064514,0.2898640250305404,0.4394260350041103,2.367741935483871,0.3032258064516129,0.06
base__none,harmless,alpaca,1000.0,0.33399999999999996,0.15015015015015015,0.12502997748749367,0.17928316161882635,2.5045045045045047,0.021021021021021023,0.014
base__none,harmful,advbench,520.0,0.48269230769230764,0.5650557620817844,0.5053074739354717,0.6229720846069207,1.721189591078067,0.45724907063197023,0.025
base__none,harmful,jailbreakbench,100.0,0.39,0.3770491803278688,0.2661433042836724,0.5025237242905762,2.2131147540983607,0.3442622950819672,0.02
sft__none,pseudo_harm,xstest,250.0,0.0,0.3,0.24657086403938408,0.35948267486046526,2.576,0.28,0.112
sft__none,harmful,xstest,200.0,0.0,0.99,0.9642775148038205,0.9972533993962251,0.095,0.98,0.955
sft__none,harmless,alpaca,1000.0,0.02100000000000002,0.06230847803881512,0.04881088025783511,0.0792276561655316,2.77732379979571,0.0449438202247191,0.047
sft__none,harmful,advbench,520.0,0.0,1.0,0.9926664854414006,0.9999999999999999,0.013461538461538462,1.0,1.0
sft__none,harmful,jailbreakbench,100.0,0.0,0.98,0.9299868370580063,0.9944981477650318,0.07,0.98,0.98
dpo__none,pseudo_harm,xstest,250.0,0.0040000000000000036,0.1606425702811245,0.12024373772338989,0.21135359436120374,2.783132530120482,0.1566265060240964,0.076
dpo__none,harmful,xstest,200.0,0.0,0.985,0.9568335194437211,0.9948858548155076,0.295,0.985,0.885
dpo__none,harmless,alpaca,1000.0,0.0050000000000000044,0.04020100502512563,0.029659791889510685,0.05427904285665928,2.7829145728643216,0.019095477386934675,0.016
dpo__none,harmful,advbench,520.0,0.0,1.0,0.9926664854414006,0.9999999999999999,0.04807692307692308,1.0,0.9980769230769231
dpo__none,harmful,jailbreakbench,100.0,0.0,0.97,0.915479219195973,0.9897456617765851,0.09,0.97,0.95
final__none,pseudo_harm,xstest,250.0,0.0,0.156,0.11626512943648533,0.20614695747125555,2.764,0.148,0.076
final__none,harmful,xstest,200.0,0.0,0.98,0.9497121344948062,0.9921956998236058,0.23,0.975,0.885
final__none,harmless,alpaca,1000.0,0.006000000000000005,0.04124748490945674,0.030548957212860803,0.055478324071062415,2.7816901408450705,0.019114688128772636,0.019
final__none,harmful,advbench,520.0,0.0,0.9980769230769231,0.9891880796810493,0.9996604577394226,0.019230769230769232,0.9980769230769231,0.9980769230769231
final__none,harmful,jailbreakbench,100.0,0.0,0.97,0.915479219195973,0.9897456617765851,0.11,0.97,0.96
base__none,harmful,wildguard,500.0,0.786,0.4953271028037383,0.402409058672728,0.5885690578467014,1.6728971962616823,0.14018691588785046,0.008
base__none,harmless,wildguard,500.0,0.776,0.3125,0.23408095733633788,0.40335498968096856,1.9732142857142858,0.10714285714285714,0.02
sft__none,harmful,wildguard,500.0,0.008000000000000007,0.9274193548387096,0.9011532442577287,0.9471154872764213,0.41330645161290325,0.9153225806451613,0.776
sft__none,harmless,wildguard,500.0,0.020000000000000018,0.3081632653061224,0.26890385323401744,0.3504072781085019,2.3020408163265307,0.24693877551020407,0.132
dpo__none,harmful,wildguard,500.0,0.0020000000000000018,0.8837675350701403,0.8526687511202089,0.9090025187190407,0.6052104208416834,0.8697394789579158,0.66
dpo__none,harmless,wildguard,500.0,0.010000000000000009,0.18585858585858586,0.15405592207009758,0.22249968195330386,2.519191919191919,0.15757575757575756,0.084
final__none,harmful,wildguard,500.0,0.0,0.882,0.8507673840349824,0.9074074074074073,0.64,0.864,0.674
final__none,harmless,wildguard,500.0,0.010000000000000009,0.19595959595959597,0.1633889333916476,0.2332131142322876,2.5474747474747477,0.17575757575757575,0.082
