phase,train_on,test_on,layer,acc_3class,acc_pseudo_vs_harmful,acc_pseudo_vs_harmless
within,base__none,base__none,8,0.9030303030303031,0.9591054313099041,0.9648
within,base__none,base__none,16,0.9327823691460055,0.9757188498402556,0.9743999999999999
within,base__none,base__none,19,0.9305785123966942,0.971884984025559,0.9751999999999998
within,base__none,base__none,24,0.9305785123966942,0.9699680511182109,0.9704
within,base__none,base__none,26,0.9333333333333333,0.969329073482428,0.9696
within,base__none,base__none,31,0.9272727272727274,0.9674121405750797,0.9696
within,sft__none,sft__none,8,0.9410468319559229,0.9706070287539935,0.976
within,sft__none,sft__none,16,0.9432506887052343,0.9738019169329073,0.9815999999999999
within,sft__none,sft__none,19,0.9421487603305785,0.9738019169329073,0.9768000000000001
within,sft__none,sft__none,24,0.9355371900826446,0.9738019169329075,0.968
within,sft__none,sft__none,26,0.9289256198347108,0.9712460063897763,0.9623999999999999
within,sft__none,sft__none,31,0.9256198347107437,0.9680511182108626,0.9608000000000001
within,dpo__none,dpo__none,8,0.9360881542699724,0.9718849840255592,0.9736
within,dpo__none,dpo__none,16,0.9476584022038568,0.9769968051118211,0.9743999999999999
within,dpo__none,dpo__none,19,0.9393939393939394,0.9776357827476037,0.9719999999999999
within,dpo__none,dpo__none,24,0.9305785123966942,0.9712460063897763,0.96
within,dpo__none,dpo__none,26,0.9294765840220386,0.9706070287539935,0.9591999999999998
within,dpo__none,dpo__none,31,0.9162534435261709,0.9623003194888179,0.944
within,final__none,final__none,8,0.9355371900826446,0.9725239616613418,0.9751999999999998
within,final__none,final__none,16,0.9454545454545455,0.9750798722044728,0.9728
within,final__none,final__none,19,0.9393939393939394,0.9744408945686901,0.9696
within,final__none,final__none,24,0.9278236914600552,0.969329073482428,0.9591999999999998
within,final__none,final__none,26,0.9278236914600552,0.9686900958466454,0.9583999999999999
within,final__none,final__none,31,0.909641873278237,0.9616613418530351,0.9480000000000001
cross,base__none,base__none,8,0.9691460055096419,,
cross,base__none,sft__none,8,0.7955922865013774,,
cross,base__none,dpo__none,8,0.8192837465564738,,
cross,base__none,final__none,8,0.818732782369146,,
cross,base__none,base__none,16,0.996694214876033,,
cross,base__none,sft__none,16,0.7146005509641873,,
cross,base__none,dpo__none,16,0.8209366391184573,,
cross,base__none,final__none,16,0.8176308539944903,,
cross,base__none,base__none,19,0.9972451790633609,,
cross,base__none,sft__none,19,0.7371900826446282,,
cross,base__none,dpo__none,19,0.8049586776859504,,
cross,base__none,final__none,19,0.8055096418732782,,
cross,base__none,base__none,24,0.9977961432506887,,
cross,base__none,sft__none,24,0.7691460055096419,,
cross,base__none,dpo__none,24,0.8154269972451791,,
cross,base__none,final__none,24,0.818732782369146,,
cross,base__none,base__none,26,0.9994490358126722,,
cross,base__none,sft__none,26,0.7603305785123967,,
cross,base__none,dpo__none,26,0.822038567493113,,
cross,base__none,final__none,26,0.8225895316804408,,
cross,base__none,base__none,31,1.0,,
cross,base__none,sft__none,31,0.7449035812672177,,
cross,base__none,dpo__none,31,0.8121212121212121,,
cross,base__none,final__none,31,0.8077134986225896,,
