checkpoint,layer,position,pseudo_source,t,off_axis,t_refused,t_answered,entanglement,cos_vbeh_vref,cos_vbeh_vover,cos_vbeh_vover_orth,n_harmless,n_harmful,n_refused,n_answered,pseudo_read_harmful,t_lo,t_hi,off_axis_lo,off_axis_hi,t_refused_lo,t_refused_hi,t_answered_lo,t_answered_hi,entanglement_lo,entanglement_hi,cos_vbeh_vref_lo,cos_vbeh_vref_hi,cos_vbeh_vover_lo,cos_vbeh_vover_hi,cos_vbeh_vover_orth_lo,cos_vbeh_vover_orth_hi
base__none,8,last_prompt,all,0.09335845747516369,1.3365469934256147,0.12062558037196651,0.08748339581170629,0.06968069076538086,0.19582301378250122,0.19001781940460205,0.17680247128009796,942,952,170,789,0.022940563086548488,0.046929683061195424,0.15033060910695864,1.2463753873909416,1.4168251559079905,0.06697807566862424,0.18650572113265498,0.039528593827303116,0.1473648493884049,0.03501279763877392,0.11295053586363792,-0.032452898612245915,0.2991725236177444,-0.16302839629352092,0.43991148769855487,-0.17824470177292823,0.42633454650640484
base__none,8,last_prompt,false_reject,0.19062507065249812,1.6394565933091796,0.17987831494711312,0.19324619320935177,0.1154952272772789,-0.06094139814376831,-0.007791228126734495,-0.0007578562945127487,942,952,80,328,0.04656862745098039,0.13560580308811718,0.25642326229670076,1.5326590382174445,1.752876998886378,0.1068790548161702,0.2732736270693192,0.1401565055890074,0.26317455816245156,0.08446551803499461,0.15949715003371237,-0.24865507073700427,0.1451541673392057,-0.24071915820240974,0.22506768144667144,-0.258217516541481,0.24251581616699686
base__none,8,last_prompt,or_bench,0.019837514746793704,1.5019185031691316,0.07783077490706558,0.008024030812865334,0.013206951320171356,0.2596118748188019,-0.25249725580215454,-0.2559482455253601,942,952,66,324,0.007692307692307693,-0.022363704850174648,0.0846968135748441,1.4109336392589493,1.5852354173824907,-0.004990899895765225,0.16356349759837222,-0.034032448497874554,0.0722838852687701,-0.015142354392446577,0.0551702988334,0.00277856164611877,0.35563128963112817,-0.3848317064344883,0.0017155314155388524,-0.39039655700325965,0.0005968802899587833
base__none,8,last_prompt,xstest,0.024963447121423146,1.4442300904144674,0.04080237522462387,0.02218876604169226,0.01728237420320511,0.036461565643548965,0.18585042655467987,0.18524795770645142,942,952,24,137,0.0,-0.054304793830942465,0.10967176595190853,1.35498455489545,1.5630527398443745,-0.0599813292786265,0.14167816689341958,-0.05419073083087608,0.10898700473526667,-0.03888742700219154,0.07451601121574636,-0.05796560291200876,0.1170928644016385,-0.021050988836213945,0.25875706300139406,-0.02014443455263972,0.258719142526388
base__none,8,post_instr_0,all,0.1960866920921377,1.3496050192193598,0.15985496827843432,0.2041999431152327,0.14378222823143005,-0.21829351782798767,-0.2603186368942261,-0.23133565485477448,164,360,146,652,0.18671679197994986,0.11117227610923751,0.3228154765115467,1.188911277727226,1.5080145727401666,0.07670822505789382,0.2951229787261235,0.11446130983034764,0.3325693804164092,0.08418526574969293,0.23743194639682766,-0.35552572906017305,0.06447374178096624,-0.3869660243391991,-0.03489241395145659,-0.3904219664633274,0.00931666328106058
base__none,8,post_instr_0,false_reject,0.13836091967616734,1.4839352893985789,0.08190074780988758,0.15213168823628878,0.09283651411533356,-0.31368154287338257,-0.1970505565404892,-0.1686578243970871,164,360,80,328,0.04411764705882353,0.05520434025582659,0.2806231345389696,1.3050986569190772,1.6497649563450831,-0.008442317029541024,0.23460977660185914,0.05961694161866309,0.2968782952724718,0.03853752110153437,0.18721663020551202,-0.3804463341832161,-0.052251543663442146,-0.32593308091163636,0.009226713725365664,-0.30480014979839326,0.04499603621661658
base__none,8,post_instr_0,or_bench,0.25647675103922213,1.3115514828150112,0.2543449406277459,0.25691101052563675,0.1919170618057251,-0.00925331749022007,-0.2198287844657898,-0.22218307852745056,164,360,66,324,0.33589743589743587,0.16676778463430542,0.3850750620403389,1.1547315455298144,1.4719170026393262,0.1412600915818033,0.4188368245412465,0.16318814087369654,0.38239881699471423,0.1262253649532795,0.28332855626940723,-0.27385576665401457,0.25924247354269025,-0.2904735065996647,0.005536600784398445,-0.3063327357172966,0.031095310673117525
base__none,8,post_instr_1,all,0.4398532648045012,1.5130238402011704,0.40036889260307573,0.4486948955786933,0.279154509305954,-0.2131572961807251,-0.3929253816604614,-0.34722504019737244,164,360,146,652,0.38596491228070173,0.2791884805456693,0.6346406110420694,1.3105356210645493,1.6287502978709376,0.24458719136792043,0.5931443140442939,0.2850975789346893,0.6441197676347217,0.188888331502676,0.3950745619833469,-0.3409904822707176,0.04051587590947737,-0.4852270945906639,-0.11750350911170244,-0.47174694314599036,-0.05704286117106684
base__none,8,post_instr_1,false_reject,0.4824912913385053,1.64211987513122,0.4162018846173258,0.49865945348152163,0.2819054126739502,-0.27730169892311096,-0.3703538477420807,-0.30453217029571533,164,360,80,328,0.4387254901960784,0.3139935714776465,0.685239642476092,1.4456684073119468,1.7648848578259406,0.23935455441862735,0.6380322801143189,0.3307557545635725,0.7013242441688652,0.19601031094789506,0.3923675343394279,-0.382356958091259,0.0015062471386043663,-0.45150172114372256,-0.11185717061162026,-0.39647396802902224,-0.06770014725625517
base__none,8,post_instr_1,or_bench,0.3952473643988042,1.499618779574816,0.38117741014077233,0.3981135067219388,0.25486165285110474,-0.06031859666109085,-0.2600232660770416,-0.2530052065849304,164,360,66,324,0.33076923076923076,0.21958006629373056,0.5838488164336154,1.2997874968983734,1.6159697680299774,0.19642143869981732,0.5873644942163725,0.2274991908410338,0.5843822558812032,0.1521533749997616,0.37003754898905755,-0.2540053613483906,0.20346808433532668,-0.3712249644100666,0.038948451913892956,-0.3841539457440376,0.05672934390604487
base__none,8,post_instr_2,all,-0.03803584509128313,1.5017080720719194,-0.05264287391360715,-0.03476494427714173,-0.02532026916742325,-0.08785801380872726,-0.3690999448299408,-0.37144359946250916,164,360,146,652,0.17293233082706766,-0.16338420031936454,0.17018785658921626,1.2433945670058284,1.7336241023269894,-0.19307668028493627,0.1414087293528973,-0.16438054445294017,0.16404420492555766,-0.10630667638033628,0.10182500109076494,-0.36333494633436203,0.2795193001627919,-0.5755110859870911,0.044324887823313425,-0.5743802487850189,0.037188530433922784
base__none,8,post_instr_2,false_reject,-0.12942769784208813,1.718408928581886,-0.17929847513054803,-0.1172640911358986,-0.07510560750961304,-0.2598280906677246,-0.297718346118927,-0.3181314468383789,164,360,80,328,0.029411764705882353,-0.2514680534682723,0.11308802805927001,1.423950955725488,1.970618061325563,-0.29916963765278515,0.05598220727784216,-0.2448292096611685,0.12540469100067905,-0.15504224076867104,0.059732281789183495,-0.3678992472589016,0.0017192824569064458,-0.4684220962226391,0.03415430625900622,-0.46662074476480486,0.017775342101230846
base__none,8,post_instr_2,or_bench,0.05757409075525911,1.3706141486814083,0.1008790762344277,0.04875270373383476,0.04196903482079506,0.19197788834571838,-0.34294039011001587,-0.35130706429481506,164,360,66,324,0.3230769230769231,-0.06299319920618596,0.24448301887318014,1.1456843927669371,1.589630353623743,-0.09458963164764286,0.3338212831043143,-0.07663738355482189,0.23181847272497322,-0.0437251191586256,0.18360986337065696,-0.304633542150259,0.4660042747855186,-0.47019739598035815,0.1404084416106331,-0.4890512987971306,0.14233410898595938
base__none,8,first_gen,all,0.4658631598471677,1.4877016258693174,0.4996394815989282,0.4585856597349161,0.29883384704589844,0.099913589656353,0.033386655151844025,0.0036980751901865005,942,952,170,789,0.46506777893639206,0.3413327817986117,0.6131670976176796,1.3816540349726645,1.559829155814509,0.3745677281508246,0.660141364545886,0.3324153123132691,0.6080466051323951,0.2315121240913868,0.3828905448317526,-0.02691064733080566,0.18519411198794833,-0.17945512533187866,0.27160503864288305,-0.19027476012706757,0.23595642559230326
base__none,8,first_gen,false_reject,0.5230334362212619,1.8130827637988753,0.5154489170127289,0.5248833990312717,0.27717477083206177,-0.02038031443953514,-0.10271894931793213,-0.10102838277816772,942,952,80,328,0.45588235294117646,0.37835457408686946,0.7035390314054655,1.7055350429673317,1.893362136782853,0.36335701709712204,0.7029162729778559,0.3835013019652351,0.7097018105288176,0.21045289635658265,0.36158628314733504,-0.12121843341737985,0.08628490548580882,-0.2188292436301708,0.05865859603509305,-0.20757070370018482,0.03974774070084093
base__none,8,first_gen,or_bench,0.5776534748408184,1.8926748314923383,0.6051795706823059,0.5720462724273401,0.2919117212295532,0.057491134852170944,-0.16895872354507446,-0.1941993534564972,942,952,66,324,0.5974358974358974,0.42696043258992683,0.7841214533470734,1.780230330145421,1.9655205210320688,0.4464441197480056,0.8241218927666605,0.4180425795255783,0.7774004340725972,0.22541889026761056,0.3831026829779147,-0.022600785829126835,0.13014221787452693,-0.25100940726697446,-0.01826767423190178,-0.2775984413921833,-0.044785793870687554
base__none,8,first_gen,xstest,0.05018810117928602,1.4633304075568172,0.15670609251708884,0.031528014249638324,0.03427702933549881,0.12910659611225128,0.07433594763278961,0.06995165348052979,942,952,24,137,0.16770186335403728,-0.02934930432096735,0.16553019544808642,1.372626249651466,1.5907500708306719,-0.007844475229393135,0.32199182559306166,-0.04573258593508129,0.14698942056499376,-0.020515121426433323,0.10853833947330713,-0.03571601901203394,0.20492817088961596,-0.12601193357259036,0.1918136149644851,-0.1261515486985445,0.18330203220248215
base__none,16,last_prompt,all,0.03543452497905752,1.3395713496235742,0.057783220041638834,0.03061916602233695,0.026442842558026314,0.14135611057281494,-0.0164596326649189,-0.020204562693834305,942,952,170,789,0.023983315954118872,-0.023062995107290464,0.09917630451527333,1.2480556974589336,1.425113754837489,-0.006487601446378527,0.1247084457982485,-0.029422385865612764,0.09547828041419243,-0.017992839729413387,0.07531304471194743,-0.06875818856060505,0.2575080543756483,-0.2843878172338009,0.27463968917727466,-0.28813623264431953,0.26411697342991824
base__none,16,last_prompt,false_reject,0.12747594832461542,1.555534333295542,0.1248113956393802,0.1281258124849173,0.08167614042758942,-0.012488944455981255,-0.11503592133522034,-0.1143980622291565,942,952,80,328,0.049019607843137254,0.06772033920222575,0.19853905312739792,1.4540205362922975,1.6757635122689132,0.04999709451450383,0.222115437135607,0.07222466315054113,0.2026701871435541,0.04580582138150931,0.12778916507959362,-0.21832973510026932,0.174570906534791,-0.2796383537352085,0.10469602830708011,-0.29459315091371535,0.11368502862751483
base__none,16,last_prompt,or_bench,-0.05616825376179633,1.5083355499716766,-0.0011315554359785226,-0.06737939629488489,-0.03721277415752411,0.20413893461227417,-0.36519813537597656,-0.3578493893146515,942,952,66,324,0.007692307692307693,-0.10866864518095995,0.006068864871862234,1.4115392049912776,1.6086143604359184,-0.0757859385702804,0.08315226612439283,-0.11691214566454233,-0.002328154805244195,-0.073347906768322,0.003947729617357221,0.004033103422261775,0.31189681068062736,-0.4734826125204563,-0.09444217458367352,-0.468612414598465,-0.08595619294792425
base__none,16,last_prompt,xstest,0.024081489337368776,1.474286508316428,-0.0036283684439981996,0.028935788335637643,0.01633216068148613,-0.06564560532569885,0.10236460715532303,0.10345053672790527,942,952,24,137,0.0,-0.05882326088531776,0.11352213080368109,1.3756609945907776,1.5818513962488197,-0.11192184345539959,0.10150060307541074,-0.053444364823711135,0.11416373696260533,-0.041518983989953996,0.07464988883584732,-0.13806614615023136,0.05183965284377336,-0.0628940680064261,0.19517978057265278,-0.06197971254587173,0.1956128165125847
base__none,16,post_instr_0,all,0.01431723281606573,1.39194693200904,0.0009371688827192989,0.017313369463196636,0.010285220108926296,-0.0632043331861496,-0.34101852774620056,-0.3403865098953247,164,360,146,652,0.14786967418546365,-0.04874417559167407,0.14312080684973366,1.2171253529854613,1.5447571620169758,-0.07136760802780112,0.14288641538441285,-0.05132197166258316,0.14809837971746356,-0.037777569890022275,0.10330792721360918,-0.24052148684859276,0.14188123121857635,-0.4169695138931274,-0.15331987887620926,-0.4194362677633762,-0.13231729380786422
