phase,train_on,test_on,layer,acc_all,acc_pseudo
within,base__none,base__none,8,0.6729577464788732,0.8145518867924529
within,base__none,base__none,16,0.6661971830985915,0.8070125786163521
within,base__none,base__none,19,0.6591549295774647,0.7969654088050314
within,base__none,base__none,24,0.6450704225352113,0.7869575471698113
within,base__none,base__none,26,0.6495774647887325,0.7819418238993711
within,base__none,base__none,31,0.6495774647887325,0.7932075471698115
within,sft__none,sft__none,8,0.8884343233454854,0.8814070351758794
within,sft__none,sft__none,16,0.9020993022762005,0.8894472361809045
within,sft__none,sft__none,19,0.8972542639507376,0.885427135678392
within,sft__none,sft__none,24,0.8979455578052056,0.8884422110552764
within,sft__none,sft__none,26,0.9001946927533024,0.8904522613065327
within,sft__none,sft__none,31,0.8960433408199826,0.8844221105527638
within,dpo__none,dpo__none,8,0.8875030893750656,0.8400000000000001
within,dpo__none,dpo__none,16,0.9033317892624423,0.851
within,dpo__none,dpo__none,19,0.9016107668605882,0.8470000000000001
within,dpo__none,dpo__none,24,0.8961062774621394,0.8559999999999999
within,dpo__none,dpo__none,26,0.8986852211696558,0.8550000000000001
within,dpo__none,dpo__none,31,0.8950729832485574,0.842
within,final__none,final__none,8,0.8933387893793576,0.8547286432160804
within,final__none,final__none,16,0.906416872501676,0.8547135678391958
within,final__none,final__none,19,0.9040072339474591,0.855713567839196
within,final__none,final__none,24,0.9036640358263911,0.8517185929648241
within,final__none,final__none,26,0.9017700084208595,0.8567336683417086
within,final__none,final__none,31,0.89265061720904,0.8487185929648241
cross,base__none,base__none,8,0.8335211267605633,
cross,base__none,sft__none,8,0.7775471371734994,
cross,base__none,dpo__none,8,0.7988990194391881,
cross,base__none,final__none,8,0.7964556090846524,
cross,base__none,base__none,16,0.9112676056338028,
cross,base__none,sft__none,16,0.8280574295104653,
cross,base__none,dpo__none,16,0.8408739033201446,
cross,base__none,final__none,16,0.8425671025464556,
cross,base__none,base__none,19,0.9461971830985916,
cross,base__none,sft__none,19,0.8399930807818716,
cross,base__none,dpo__none,19,0.8456906932736968,
cross,base__none,final__none,19,0.8456641431520991,
cross,base__none,base__none,24,0.9861971830985915,
cross,base__none,sft__none,24,0.7490053623940495,
cross,base__none,dpo__none,24,0.7414415964218132,
cross,base__none,final__none,24,0.7486235375086029,
cross,base__none,base__none,26,0.9912676056338028,
cross,base__none,sft__none,26,0.7232312748659402,
cross,base__none,dpo__none,26,0.6915534147600206,
cross,base__none,final__none,26,0.6945973847212663,
cross,base__none,base__none,31,0.9985915492957746,
cross,base__none,sft__none,31,0.709565819062446,
cross,base__none,dpo__none,31,0.635128161018407,
cross,base__none,final__none,31,0.6422918100481761,
cross,sft__none,sft__none,8,0.9427434699878914,
cross,sft__none,dpo__none,8,0.909513160158266,
cross,sft__none,final__none,8,0.9086373021335169,
cross,sft__none,sft__none,16,0.9814910915066597,
cross,sft__none,dpo__none,16,0.9274040942714605,
cross,sft__none,final__none,16,0.9251548520302821,
cross,sft__none,sft__none,19,0.9920428991523957,
cross,sft__none,dpo__none,19,0.9225873043179081,
cross,sft__none,final__none,19,0.9179284239504474,
cross,sft__none,sft__none,24,0.9989621172807472,
cross,sft__none,dpo__none,24,0.9155341476002065,
cross,sft__none,final__none,24,0.9074328974535444,
cross,sft__none,sft__none,26,0.9994810586403736,
cross,sft__none,dpo__none,26,0.9136418372613109,
cross,sft__none,final__none,26,0.9067446662078459,
cross,sft__none,sft__none,31,1.0,
cross,sft__none,dpo__none,31,0.9091691037330122,
cross,sft__none,final__none,31,0.9003785271851342,
