phase,train_on,test_on,layer,auroc_all,source,n,auroc,refusal_rate
within,base__none,base__none,16,0.6908927744872995,,,,
within_by_source,base__none,base__none,16,,advbench,269.0,0.5282276203328836,0.5650557620817844
within_by_source,base__none,base__none,16,,alpaca,666.0,0.450530035335689,0.15015015015015015
within_by_source,base__none,base__none,16,,beavertails,697.0,0.6776833570798562,0.4146341463414634
within_by_source,base__none,base__none,16,,false_reject,408.0,0.402172256097561,0.19607843137254902
within_by_source,base__none,base__none,16,,harmbench,209.0,0.4586920681443488,0.49282296650717705
within_by_source,base__none,base__none,16,,jailbreakbench,61.0,0.7082379862700229,0.3770491803278688
within_by_source,base__none,base__none,16,,or_bench,390.0,0.5814160119715674,0.16923076923076924
within_by_source,base__none,base__none,16,,toxicchat,315.0,0.43692022263450836,0.26666666666666666
within_by_source,base__none,base__none,16,,wildguard,219.0,0.5539555863983345,0.4018264840182648
within_by_source,base__none,base__none,16,,xstest,316.0,0.5391419491525423,0.25316455696202533
within,sft__none,sft__none,16,0.9723937241138902,,,,
within_by_source,sft__none,sft__none,16,,advbench,520.0,,1.0
within_by_source,sft__none,sft__none,16,,alpaca,979.0,0.8458516375584841,0.06230847803881512
within_by_source,sft__none,sft__none,16,,beavertails,942.0,0.9313819444444446,0.7961783439490446
within_by_source,sft__none,sft__none,16,,false_reject,500.0,0.9252981389230337,0.754
within_by_source,sft__none,sft__none,16,,harmbench,317.0,0.9986970684039089,0.9684542586750788
within_by_source,sft__none,sft__none,16,,jailbreakbench,100.0,1.0,0.98
within_by_source,sft__none,sft__none,16,,or_bench,495.0,0.9448860759493671,0.20202020202020202
within_by_source,sft__none,sft__none,16,,toxicchat,492.0,0.8027122641509433,0.43089430894308944
within_by_source,sft__none,sft__none,16,,wildguard,986.0,0.955543917075832,0.6196754563894523
within_by_source,sft__none,sft__none,16,,xstest,450.0,0.9442685374888764,0.6066666666666667
within,dpo__none,dpo__none,16,0.9636868930824948,,,,
within_by_source,dpo__none,dpo__none,16,,advbench,520.0,,1.0
within_by_source,dpo__none,dpo__none,16,,alpaca,995.0,0.7246596858638742,0.04020100502512563
within_by_source,dpo__none,dpo__none,16,,beavertails,943.0,0.9412324077596046,0.7465535524920467
within_by_source,dpo__none,dpo__none,16,,false_reject,500.0,0.8905593593020968,0.662
within_by_source,dpo__none,dpo__none,16,,harmbench,317.0,0.9919028340080973,0.9589905362776026
within_by_source,dpo__none,dpo__none,16,,jailbreakbench,100.0,1.0,0.97
within_by_source,dpo__none,dpo__none,16,,or_bench,500.0,0.8715659577401675,0.134
within_by_source,dpo__none,dpo__none,16,,toxicchat,495.0,0.7896577107103423,0.4222222222222222
within_by_source,dpo__none,dpo__none,16,,wildguard,994.0,0.9511543955753257,0.5362173038229376
within_by_source,dpo__none,dpo__none,16,,xstest,449.0,0.9649709418039966,0.5278396436525612
within,final__none,final__none,16,0.9676011987513926,,,,
within_by_source,final__none,final__none,16,,advbench,520.0,1.0,0.9980769230769231
within_by_source,final__none,final__none,16,,alpaca,994.0,0.7348040846620428,0.04124748490945674
within_by_source,final__none,final__none,16,,beavertails,943.0,0.9497938292618607,0.7497348886532343
within_by_source,final__none,final__none,16,,false_reject,499.0,0.890987065089576,0.6332665330661322
within_by_source,final__none,final__none,16,,harmbench,317.0,0.9855769230769231,0.9589905362776026
within_by_source,final__none,final__none,16,,jailbreakbench,100.0,1.0,0.97
within_by_source,final__none,final__none,16,,or_bench,500.0,0.8981511750390468,0.126
within_by_source,final__none,final__none,16,,toxicchat,494.0,0.843904356594712,0.39878542510121456
within_by_source,final__none,final__none,16,,wildguard,995.0,0.9474551178284106,0.5407035175879397
within_by_source,final__none,final__none,16,,xstest,450.0,0.9677783275606135,0.5222222222222223
cross,base__none,base__none,16,,,,0.9714809042045701,
cross,base__none,sft__none,16,,,,0.9203906967464432,
cross,base__none,dpo__none,16,,,,0.9157231218136752,
cross,base__none,final__none,16,,,,0.9145086608206447,
cross,sft__none,sft__none,16,,,,0.9985810249774812,
cross,sft__none,dpo__none,16,,,,0.9791571908830328,
cross,sft__none,final__none,16,,,,0.976546973233964,
