phase,train_on,test_on,layer,acc_all,acc_pseudo
within,base__none,base__none,8,0.9548209366391186,0.9809999999999999
within,base__none,base__none,16,0.9603305785123967,0.9809999999999999
within,base__none,base__none,19,0.9597796143250689,0.9800000000000001
within,base__none,base__none,24,0.9581267217630854,0.9800000000000001
within,base__none,base__none,26,0.959779614325069,0.978
within,base__none,base__none,31,0.956473829201102,0.978
within,sft__none,sft__none,8,0.9630853994490358,0.976
within,sft__none,sft__none,16,0.962534435261708,0.975
within,sft__none,sft__none,19,0.9614325068870523,0.975
within,sft__none,sft__none,24,0.9575757575757576,0.974
within,sft__none,sft__none,26,0.9597796143250689,0.975
within,sft__none,sft__none,31,0.9592286501377411,0.977
within,dpo__none,dpo__none,8,0.9322314049586777,0.9219999999999999
within,dpo__none,dpo__none,16,0.9322314049586777,0.9259999999999999
within,dpo__none,dpo__none,19,0.9349862258953168,0.9369999999999999
within,dpo__none,dpo__none,24,0.9454545454545455,0.942
within,dpo__none,dpo__none,26,0.9482093663911846,0.944
within,dpo__none,dpo__none,31,0.9415977961432507,0.9400000000000001
within,final__none,final__none,8,0.9294765840220386,0.9209999999999999
within,final__none,final__none,16,0.9223140495867769,0.9189999999999999
within,final__none,final__none,19,0.931129476584022,0.925
within,final__none,final__none,24,0.9388429752066114,0.9339999999999999
within,final__none,final__none,26,0.9388429752066114,0.9309999999999998
within,final__none,final__none,31,0.9399449035812673,0.932
cross,base__none,base__none,8,0.9724517906336089,
cross,base__none,sft__none,8,0.5493112947658402,
cross,base__none,dpo__none,8,0.637465564738292,
cross,base__none,final__none,8,0.6352617079889807,
cross,base__none,base__none,16,0.9867768595041322,
cross,base__none,sft__none,16,0.5878787878787879,
cross,base__none,dpo__none,16,0.6517906336088154,
cross,base__none,final__none,16,0.6528925619834711,
cross,base__none,base__none,19,0.9928374655647383,
cross,base__none,sft__none,19,0.7785123966942149,
cross,base__none,dpo__none,19,0.7432506887052341,
cross,base__none,final__none,19,0.7371900826446282,
cross,base__none,base__none,24,0.9988980716253444,
cross,base__none,sft__none,24,0.947107438016529,
cross,base__none,dpo__none,24,0.8991735537190083,
cross,base__none,final__none,24,0.8986225895316804,
cross,base__none,base__none,26,0.9994490358126722,
cross,base__none,sft__none,26,0.9548209366391185,
cross,base__none,dpo__none,26,0.915702479338843,
cross,base__none,final__none,26,0.912396694214876,
cross,base__none,base__none,31,1.0,
cross,base__none,sft__none,31,0.9294765840220386,
cross,base__none,dpo__none,31,0.8611570247933884,
cross,base__none,final__none,31,0.8617079889807162,
cross,sft__none,sft__none,8,0.9741046831955923,
cross,sft__none,dpo__none,8,0.9426997245179063,
cross,sft__none,final__none,8,0.9410468319559229,
cross,sft__none,sft__none,16,0.9884297520661157,
cross,sft__none,dpo__none,16,0.9493112947658402,
cross,sft__none,final__none,16,0.9476584022038568,
cross,sft__none,sft__none,19,0.9972451790633609,
cross,sft__none,dpo__none,19,0.9482093663911846,
cross,sft__none,final__none,19,0.9454545454545454,
cross,sft__none,sft__none,24,0.9994490358126722,
cross,sft__none,dpo__none,24,0.947107438016529,
cross,sft__none,final__none,24,0.9449035812672176,
cross,sft__none,sft__none,26,0.9994490358126722,
cross,sft__none,dpo__none,26,0.9482093663911846,
cross,sft__none,final__none,26,0.946556473829201,
cross,sft__none,sft__none,31,1.0,
cross,sft__none,dpo__none,31,0.9487603305785124,
cross,sft__none,final__none,31,0.947107438016529,
