checkpoint,layer,pos,source,grp,n,t,off_axis,t_lo,t_hi,off_lo,off_hi
base__none,8,last_prompt,all,pseudo_all,1114,-0.046282443747447895,1.057695825958152,-0.07663454372368216,0.0011415461573776047,0.9870632207329699,1.1237587068037276
base__none,8,last_prompt,all,pseudo_acc,888,-0.04419621288014569,1.0623914832108161,-0.07992562746932591,0.0030966480841445126,0.9855879077397874,1.1319491596613966
base__none,8,last_prompt,all,pseudo_ref,226,-0.05447966617604707,1.0679945788522687,-0.09219164771664237,-0.003854868023471668,0.9921303632218722,1.1455347682617294
base__none,8,last_prompt,false_reject,pseudo_acc,328,0.08093174327027547,1.3917850942476881,0.034351530457989235,0.14162603602155222,1.2953050017923762,1.4673471480672529
base__none,8,last_prompt,false_reject,pseudo_ref,80,0.056748341784937546,1.3990066192410495,0.005675467044951832,0.1273912719318328,1.313613014003781,1.4941874356471614
base__none,8,last_prompt,or_bench,pseudo_acc,324,-0.041665962362647496,1.2776157833502602,-0.07596362295056754,0.009705890218426846,1.2002937994800975,1.3499592429303608
base__none,8,last_prompt,or_bench,pseudo_ref,66,0.011707437589655935,1.233947930580176,-0.05071912187363448,0.09696959282813208,1.1473172872479926,1.3427310038916578
base__none,8,last_prompt,xstest,pseudo_acc,236,-0.22157659947357214,1.2222775604705047,-0.2664432349388659,-0.1679220815014997,1.1371340440817628,1.296553243225748
base__none,8,last_prompt,xstest,pseudo_ref,80,-0.2203120369626446,1.4536526118839928,-0.2679487478675012,-0.16172379346997975,1.329556340647264,1.5753577988025156
base__none,8,first_gen,all,pseudo_all,1114,0.32982412969162517,1.1292723236189695,0.23864562923478047,0.4218008722451781,1.0585332424552683,1.1818267900567905
base__none,8,first_gen,all,pseudo_acc,888,0.3407984423236298,1.1549253651341127,0.24339779268020806,0.4473450169969462,1.0827710212675448,1.2012254781083787
base__none,8,first_gen,all,pseudo_ref,226,0.28670381714562126,1.090008584240208,0.1996399928656033,0.38808990296606066,1.019377865515875,1.1658704121012013
base__none,8,first_gen,false_reject,pseudo_acc,328,0.5046872613259407,1.548654939901962,0.37741708175397015,0.6419735593394544,1.4518956469898403,1.604913838904191
base__none,8,first_gen,false_reject,pseudo_ref,80,0.4763403699802824,1.5459384493152875,0.33842965375660666,0.6096887640470393,1.4597265215477224,1.6366970677831163
base__none,8,first_gen,or_bench,pseudo_acc,324,0.5762097023896492,1.614133355803914,0.4297806834291288,0.7211691855211717,1.5190395273014228,1.6891546533949224
base__none,8,first_gen,or_bench,pseudo_ref,66,0.5929317141267907,1.569694370624342,0.44082247945725084,0.7505112090897622,1.4877735469869322,1.6746775278999637
