layer,position,vector,pair,cosine
8,pre_gen,harmless,base__none->sft__none,0.5437509417533875
8,pre_gen,harmless,base__none->dpo__none,0.5424576997756958
8,pre_gen,harmless,base__none->final__none,0.5419031381607056
8,pre_gen,harmless,sft__none->dpo__none,0.9960951805114746
8,pre_gen,harmless,sft__none->final__none,0.9950405359268188
8,pre_gen,harmless,dpo__none->final__none,0.9994457960128784
8,pre_gen,pseudo_harm,base__none->sft__none,0.5665395855903625
8,pre_gen,pseudo_harm,base__none->dpo__none,0.5765949487686157
8,pre_gen,pseudo_harm,base__none->final__none,0.5823173522949219
8,pre_gen,pseudo_harm,sft__none->dpo__none,0.9954819679260254
8,pre_gen,pseudo_harm,sft__none->final__none,0.9942666292190552
8,pre_gen,pseudo_harm,dpo__none->final__none,0.9995179176330566
8,pre_gen,harmful,base__none->sft__none,0.5326570272445679
8,pre_gen,harmful,base__none->dpo__none,0.5349255800247192
8,pre_gen,harmful,base__none->final__none,0.536525547504425
8,pre_gen,harmful,sft__none->dpo__none,0.9960457682609558
8,pre_gen,harmful,sft__none->final__none,0.9950623512268066
8,pre_gen,harmful,dpo__none->final__none,0.9995148181915283
8,pre_gen,v_ref,base__none->sft__none,0.12630020081996918
8,pre_gen,v_ref,base__none->dpo__none,0.1276182383298874
8,pre_gen,v_ref,base__none->final__none,0.12822121381759644
8,pre_gen,v_ref,sft__none->dpo__none,0.9933936595916748
8,pre_gen,v_ref,sft__none->final__none,0.9916793704032898
8,pre_gen,v_ref,dpo__none->final__none,0.9989705085754395
8,pre_gen,v_over,base__none->sft__none,0.07394281029701233
8,pre_gen,v_over,base__none->dpo__none,0.08387094736099243
8,pre_gen,v_over,base__none->final__none,0.08251194655895233
8,pre_gen,v_over,sft__none->dpo__none,0.9929208755493164
8,pre_gen,v_over,sft__none->final__none,0.9911750555038452
8,pre_gen,v_over,dpo__none->final__none,0.9991457462310791
8,first_gen,harmless,base__none->sft__none,0.7450602054595947
8,first_gen,harmless,base__none->dpo__none,0.7459929585456848
8,first_gen,harmless,base__none->final__none,0.7444291114807129
