checkpoint,layer,token_position,method,entanglement,boundary_margin,boundary_margin_n,cluster_distance,acc_ref,acc_over,cos_vbeh_vref,cos_vbeh_vover,n_pseudo_refused,n_pseudo_accepted,n_harmful,n_harmless,n_pseudo
base__none,8,first_gen,mean_diff,0.41670235991477966,0.12304934114217758,0.15322971787195902,1.606076717376709,0.7840490797546013,0.7992,-0.24238938093185425,-0.2508262097835541,19,981,565,250,1000
base__none,16,first_gen,mean_diff,0.27213382720947266,-0.16970936954021454,-0.11143070966540074,3.0460071563720703,0.7815950920245399,0.8576,-0.21449944376945496,-0.2050332874059677,19,981,565,250,1000
base__none,19,first_gen,mean_diff,0.2737840414047241,-0.24909590184688568,-0.11265716903320806,4.42219352722168,0.7926380368098159,0.8552,-0.21702779829502106,-0.24061059951782227,19,981,565,250,1000
base__none,24,first_gen,mean_diff,0.3440856337547302,0.20259851217269897,0.05798653608683025,6.9877777099609375,0.8,0.8456,-0.20666813850402832,-0.22671067714691162,19,981,565,250,1000
base__none,26,first_gen,mean_diff,0.3620164394378662,0.4009453058242798,0.10164449996512497,7.889168739318848,0.8049079754601227,0.8584,-0.1811397671699524,-0.21216441690921783,19,981,565,250,1000
base__none,31,first_gen,mean_diff,0.5123621821403503,5.238141059875488,0.5504033536933346,19.03382682800293,0.7263803680981595,0.776,-0.1478898525238037,-0.2575761079788208,19,981,565,250,1000
base__mistral_safety,8,first_gen,mean_diff,0.041382987052202225,-0.9308547377586365,-0.9222272390353042,2.018710136413574,0.5349693251533743,0.8736,-0.05937077850103378,-0.28410401940345764,34,966,565,250,1000
base__mistral_safety,16,first_gen,mean_diff,-0.01427660882472992,-2.0127696990966797,-1.0307657049756227,3.9053874015808105,0.6957055214723926,0.868,0.03021509386599064,-0.2910243272781372,34,966,565,250,1000
base__mistral_safety,19,first_gen,mean_diff,0.010043211281299591,-2.7170512676239014,-0.977833331045229,5.557289123535156,0.7288343558282209,0.8624,0.03689739480614662,-0.3086656928062439,34,966,565,250,1000
base__mistral_safety,24,first_gen,mean_diff,0.0708121582865715,-3.661561965942383,-0.8419572291957229,8.697738647460938,0.7349693251533742,0.848,0.0460038036108017,-0.29715389013290405,34,966,565,250,1000
base__mistral_safety,26,first_gen,mean_diff,0.09641139209270477,-3.9581644535064697,-0.787648661361003,10.050583839416504,0.7165644171779141,0.8576,0.05195039138197899,-0.28680822253227234,34,966,565,250,1000
base__mistral_safety,31,first_gen,mean_diff,0.18479999899864197,-6.234408855438232,-0.5726546589888168,21.773712158203125,0.7202453987730061,0.7512,0.01818736642599106,-0.18790800869464874,34,966,565,250,1000
sft__none,8,first_gen,mean_diff,0.5638260841369629,-0.3030637204647064,-0.19737049370673976,3.0710134506225586,0.8355828220858895,0.7328,0.8326228260993958,0.2762669324874878,344,656,565,250,1000
sft__none,16,first_gen,mean_diff,0.6334984302520752,-0.7622585892677307,-0.18642699254757172,8.177556037902832,0.8368098159509203,0.7408,0.8335840702056885,0.3623589873313904,344,656,565,250,1000
sft__none,19,first_gen,mean_diff,0.687828779220581,-1.2528916597366333,-0.18812297960542568,13.319921493530273,0.8355828220858895,0.7264,0.8481893539428711,0.495015025138855,344,656,565,250,1000
sft__none,24,first_gen,mean_diff,0.7373369932174683,-2.3227992057800293,-0.1981837486871188,23.44086456298828,0.838036809815951,0.6952,0.8634209036827087,0.616841197013855,344,656,565,250,1000
sft__none,26,first_gen,mean_diff,0.7505597472190857,-3.1407783031463623,-0.21998323078988624,28.554706573486328,0.8404907975460123,0.6688,0.8661915063858032,0.6614174842834473,344,656,565,250,1000
sft__none,31,first_gen,mean_diff,0.672575831413269,-8.433579444885254,-0.31463045571210935,53.60942840576172,0.8343558282208589,0.6584,0.8752957582473755,0.4479069113731384,344,656,565,250,1000
sft__mistral_safety,8,first_gen,mean_diff,0.6261487007141113,-0.40297162532806396,-0.2511277220223161,3.209296226501465,0.8711656441717791,0.7744,0.8599975109100342,0.4253808856010437,353,647,565,250,1000
sft__mistral_safety,16,first_gen,mean_diff,0.6670987606048584,-1.4389816522598267,-0.3227823551055596,8.91611099243164,0.8846625766871166,0.7296,0.8777626156806946,0.4895390570163727,353,647,565,250,1000
sft__mistral_safety,19,first_gen,mean_diff,0.6921247243881226,-2.347554922103882,-0.3304346019733804,14.208892822265625,0.8834355828220859,0.7008,0.890434741973877,0.5356658697128296,353,647,565,250,1000
sft__mistral_safety,24,first_gen,mean_diff,0.743358314037323,-4.126681804656982,-0.3222367783854678,25.612730026245117,0.8846625766871166,0.6664,0.9040870666503906,0.6282085180282593,353,647,565,250,1000
sft__mistral_safety,26,first_gen,mean_diff,0.7551077604293823,-5.09760856628418,-0.32635546780936436,31.239608764648438,0.8858895705521472,0.6488,0.9042465686798096,0.660248875617981,353,647,565,250,1000
sft__mistral_safety,31,first_gen,mean_diff,0.7757323980331421,-5.6241655349731445,-0.21264194783401325,52.897987365722656,0.8699386503067484,0.6584,0.9076473116874695,0.6145882606506348,353,647,565,250,1000
dpo__none,8,first_gen,mean_diff,0.4646439552307129,-0.688612163066864,-0.43694376444708116,3.1519486904144287,0.8429447852760736,0.9,0.8658236861228943,0.25579404830932617,210,790,565,250,1000
dpo__none,16,first_gen,mean_diff,0.5973101854324341,-1.453403115272522,-0.346509955032255,8.388810157775879,0.8392638036809816,0.8144,0.8648980855941772,0.40034735202789307,210,790,565,250,1000
dpo__none,19,first_gen,mean_diff,0.6355198621749878,-2.5551955699920654,-0.37565949083896694,13.603785514831543,0.838036809815951,0.7264,0.8816713094711304,0.4882658123970032,210,790,565,250,1000
dpo__none,24,first_gen,mean_diff,0.6953150629997253,-4.287309646606445,-0.36357729579049475,23.584033966064453,0.8392638036809816,0.648,0.8959013223648071,0.5974186658859253,210,790,565,250,1000
dpo__none,26,first_gen,mean_diff,0.7082810401916504,-5.391682147979736,-0.3772685808624024,28.582725524902344,0.8392638036809816,0.6408,0.8948307037353516,0.6293575167655945,210,790,565,250,1000
dpo__none,31,first_gen,mean_diff,0.6757522821426392,-11.606247901916504,-0.4092447292986284,56.72032928466797,0.838036809815951,0.6936,0.9030768871307373,0.5362643003463745,210,790,565,250,1000
dpo__mistral_safety,8,first_gen,mean_diff,0.5266090035438538,-0.7827463150024414,-0.46020374092264577,3.401738166809082,0.8736196319018404,0.7776,0.88411545753479,0.34497910737991333,260,740,565,250,1000
