checkpoint,position,layer,n,rate,cluster_reads_harmful_rate,refusal_rate
base__none,first_gen,8,1114,0.09245960502692999,0.5727109515260324,0.20287253141831238
dpo__none,first_gen,8,1449,0.14009661835748793,0.30089717046238784,0.43823326432022086
final__none,first_gen,8,1449,0.12836438923395446,0.29882677708764666,0.42374051069703245
sft__none,first_gen,8,1445,0.1342560553633218,0.386159169550173,0.5190311418685121
base__none,first_gen,16,1114,0.10502692998204669,0.5269299820466786,0.20287253141831238
dpo__none,first_gen,16,1449,0.14009661835748793,0.30089717046238784,0.43823326432022086
final__none,first_gen,16,1449,0.12836438923395446,0.29882677708764666,0.42374051069703245
sft__none,first_gen,16,1445,0.13494809688581316,0.3854671280276817,0.5190311418685121
base__none,first_gen,19,1114,0.07809694793536805,0.5807899461400359,0.20287253141831238
dpo__none,first_gen,19,1449,0.13871635610766045,0.3022774327122153,0.43823326432022086
final__none,first_gen,19,1449,0.12698412698412698,0.3002070393374741,0.42374051069703245
sft__none,first_gen,19,1445,0.1342560553633218,0.386159169550173,0.5190311418685121
base__none,first_gen,24,1114,0.07899461400359066,0.5403949730700179,0.20287253141831238
dpo__none,first_gen,24,1449,0.14009661835748793,0.30089717046238784,0.43823326432022086
final__none,first_gen,24,1449,0.12836438923395446,0.29882677708764666,0.42374051069703245
sft__none,first_gen,24,1445,0.1356401384083045,0.3847750865051903,0.5190311418685121
base__none,first_gen,26,1114,0.0763016157989228,0.526032315978456,0.20287253141831238
dpo__none,first_gen,26,1449,0.14009661835748793,0.30089717046238784,0.43823326432022086
final__none,first_gen,26,1449,0.12836438923395446,0.29882677708764666,0.42374051069703245
sft__none,first_gen,26,1445,0.1356401384083045,0.3847750865051903,0.5190311418685121
base__none,first_gen,31,1114,0.06822262118491922,0.533213644524237,0.20287253141831238
dpo__none,first_gen,31,1449,0.14009661835748793,0.30089717046238784,0.43823326432022086
final__none,first_gen,31,1449,0.12836438923395446,0.29882677708764666,0.42374051069703245
sft__none,first_gen,31,1445,0.1342560553633218,0.386159169550173,0.5190311418685121
base__none,last_prompt,8,1114,0.1992818671454219,0.02154398563734291,0.20287253141831238
dpo__none,last_prompt,8,1449,0.3968253968253968,0.04623878536922015,0.43823326432022086
final__none,last_prompt,8,1449,0.38440303657694963,0.04623878536922015,0.42374051069703245
sft__none,last_prompt,8,1445,0.47612456747404847,0.04775086505190312,0.5190311418685121
base__none,last_prompt,16,1114,0.1992818671454219,0.02154398563734291,0.20287253141831238
dpo__none,last_prompt,16,1449,0.23947550034506557,0.20841959972394755,0.43823326432022086
final__none,last_prompt,16,1449,0.2277432712215321,0.20772946859903382,0.42374051069703245
sft__none,last_prompt,16,1445,0.3231833910034602,0.20069204152249134,0.5190311418685121
base__none,last_prompt,19,1114,0.1992818671454219,0.02244165170556553,0.20287253141831238
dpo__none,last_prompt,19,1449,0.2732919254658385,0.18012422360248448,0.43823326432022086
final__none,last_prompt,19,1449,0.26224982746721875,0.17943409247757075,0.42374051069703245
sft__none,last_prompt,19,1445,0.36055363321799305,0.16885813148788928,0.5190311418685121
base__none,last_prompt,24,1114,0.1992818671454219,0.02244165170556553,0.20287253141831238
dpo__none,last_prompt,24,1449,0.3195307108350587,0.13526570048309178,0.43823326432022086
final__none,last_prompt,24,1449,0.3077984817115252,0.13526570048309178,0.42374051069703245
sft__none,last_prompt,24,1445,0.4069204152249135,0.12387543252595155,0.5190311418685121
base__none,last_prompt,26,1114,0.1992818671454219,0.02154398563734291,0.20287253141831238
dpo__none,last_prompt,26,1449,0.34299516908212563,0.1069703243616287,0.43823326432022086
final__none,last_prompt,26,1449,0.3333333333333333,0.1048999309868875,0.42374051069703245
sft__none,last_prompt,26,1445,0.4311418685121107,0.09619377162629758,0.5190311418685121
base__none,last_prompt,31,1114,0.1992818671454219,0.02154398563734291,0.20287253141831238
dpo__none,last_prompt,31,1449,0.422360248447205,0.020013802622498276,0.43823326432022086
final__none,last_prompt,31,1449,0.40993788819875776,0.020013802622498276,0.42374051069703245
