checkpoint,position,layer,dist_pseudo_to_harmful,dist_pseudo_to_harmless,dist_harmful_to_harmless,pseudo_closer_to_harmless_ratio,cos_pseudo_harmless
dpo__none,last_prompt,8,3.8324778079986572,3.7599852085113525,1.6849952936172485,0.9810846655560517,0.18063242733478546
dpo__none,last_prompt,16,8.490159034729004,8.034157752990723,3.543497085571289,0.9462906077644709,0.08818802237510681
dpo__none,last_prompt,19,10.298041343688965,9.717044830322266,4.687607765197754,0.9435818429955366,0.1135571077466011
dpo__none,last_prompt,24,13.64681625366211,12.681437492370605,6.852756977081299,0.9292597816701427,0.12395180761814117
dpo__none,last_prompt,26,15.440690040588379,14.311055183410645,7.943771839141846,0.9268403902799484,0.12972348928451538
dpo__none,last_prompt,31,47.786983489990234,45.096431732177734,20.028873443603516,0.9436969743366187,0.08372589200735092
dpo__none,post_instr_0,8,3.4410269260406494,3.281996965408325,1.6714714765548706,0.9537841568664187,0.15719376504421234
dpo__none,post_instr_0,16,7.444912433624268,6.509812355041504,4.343360424041748,0.8743974375898003,0.10284383594989777
dpo__none,post_instr_0,19,8.806917190551758,7.655130386352539,5.23547887802124,0.8692179363926711,0.10541213303804398
dpo__none,post_instr_0,24,11.877175331115723,9.802752494812012,7.53980016708374,0.8253437556933966,0.08033502846956253
dpo__none,post_instr_0,26,13.357982635498047,10.997233390808105,8.681280136108398,0.8232705260136819,0.09357937425374985
dpo__none,post_instr_0,31,34.98997116088867,29.336673736572266,22.547752380371094,0.8384309207252052,0.10940941423177719
dpo__none,first_gen,8,3.581319808959961,2.3108365535736084,2.744628667831421,0.6452471928902352,0.00371302361600101
dpo__none,first_gen,16,8.063648223876953,5.171453952789307,7.150430679321289,0.6413293101596764,0.17375382781028748
dpo__none,first_gen,19,12.342328071594238,6.908725261688232,11.605504035949707,0.55975867936849,0.18761178851127625
dpo__none,first_gen,24,20.10748863220215,10.257925987243652,19.89120864868164,0.5101545088438136,0.23665189743041992
dpo__none,first_gen,26,23.915008544921875,11.5332612991333,23.984336853027344,0.48226038796805193,0.24643586575984955
dpo__none,first_gen,31,50.064395904541016,26.356164932250977,47.40342330932617,0.5264452802447653,0.17420274019241333
