checkpoint,position,layer,group,n,divergence_rate
base__none,first_gen,8,harmful,1156,0.25086505190311414
base__none,first_gen,8,harmless,1280,0.23671874999999998
base__none,first_gen,8,pseudo_harm,1114,0.5727109515260322
base__none,first_gen,16,harmful,1156,0.2534602076124568
base__none,first_gen,16,harmless,1280,0.20078125000000002
base__none,first_gen,16,pseudo_harm,1114,0.5269299820466786
base__none,first_gen,19,harmful,1156,0.27249134948096887
base__none,first_gen,19,harmless,1280,0.20468750000000002
base__none,first_gen,19,pseudo_harm,1114,0.5807899461400359
base__none,first_gen,24,harmful,1156,0.33044982698961933
base__none,first_gen,24,harmless,1280,0.20468750000000002
base__none,first_gen,24,pseudo_harm,1114,0.5403949730700179
base__none,first_gen,26,harmful,1156,0.3365051903114187
base__none,first_gen,26,harmless,1280,0.20390624999999996
base__none,first_gen,26,pseudo_harm,1114,0.526032315978456
base__none,first_gen,31,harmful,1156,0.39273356401384085
base__none,first_gen,31,harmless,1280,0.2515625
base__none,first_gen,31,pseudo_harm,1114,0.533213644524237
base__none,last_prompt,8,harmful,1156,0.45155709342560557
base__none,last_prompt,8,harmless,1280,0.21250000000000002
base__none,last_prompt,8,pseudo_harm,1114,0.021543985637342944
base__none,last_prompt,16,harmful,1156,0.4455017301038062
base__none,last_prompt,16,harmless,1280,0.2109375
base__none,last_prompt,16,pseudo_harm,1114,0.021543985637342944
base__none,last_prompt,19,harmful,1156,0.4472318339100346
base__none,last_prompt,19,harmless,1280,0.22109374999999998
base__none,last_prompt,19,pseudo_harm,1114,0.022441651705565557
base__none,last_prompt,24,harmful,1156,0.44982698961937717
base__none,last_prompt,24,harmless,1280,0.20703125
base__none,last_prompt,24,pseudo_harm,1114,0.022441651705565557
base__none,last_prompt,26,harmful,1156,0.45155709342560557
base__none,last_prompt,26,harmless,1280,0.19140625
base__none,last_prompt,26,pseudo_harm,1114,0.021543985637342944
base__none,last_prompt,31,harmful,1156,0.448961937716263
base__none,last_prompt,31,harmless,1280,0.21796875000000004
base__none,last_prompt,31,pseudo_harm,1114,0.021543985637342944
base__none,post_instr_0,8,harmful,719,0.4617524339360223
base__none,post_instr_0,8,harmless,502,0.24900398406374502
base__none,post_instr_0,8,pseudo_harm,798,0.6466165413533835
base__none,post_instr_0,16,harmful,719,0.4659248956884562
base__none,post_instr_0,16,harmless,502,0.2450199203187251
base__none,post_instr_0,16,pseudo_harm,798,0.3107769423558897
base__none,post_instr_0,19,harmful,719,0.4631432545201669
base__none,post_instr_0,19,harmless,502,0.27091633466135456
base__none,post_instr_0,19,pseudo_harm,798,0.26691729323308266
base__none,post_instr_0,24,harmful,719,0.45340751043115435
base__none,post_instr_0,24,harmless,502,0.28685258964143423
base__none,post_instr_0,24,pseudo_harm,798,0.30827067669172936
base__none,post_instr_0,26,harmful,719,0.4520166898470097
base__none,post_instr_0,26,harmless,502,0.27689243027888444
base__none,post_instr_0,26,pseudo_harm,798,0.3007518796992481
base__none,post_instr_0,31,harmful,719,0.44645340751043117
base__none,post_instr_0,31,harmless,502,0.2888446215139442
base__none,post_instr_0,31,pseudo_harm,798,0.27819548872180455
dpo__none,first_gen,8,harmful,2156,0.15816326530612246
dpo__none,first_gen,8,harmless,2208,0.1218297101449275
dpo__none,first_gen,8,pseudo_harm,1449,0.30089717046238784
dpo__none,first_gen,16,harmful,2156,0.16048237476808902
dpo__none,first_gen,16,harmless,2208,0.11413043478260865
dpo__none,first_gen,16,pseudo_harm,1449,0.30089717046238784
dpo__none,first_gen,19,harmful,2156,0.15955473098330242
dpo__none,first_gen,19,harmless,2208,0.11458333333333337
dpo__none,first_gen,19,pseudo_harm,1449,0.3022774327122153
dpo__none,first_gen,24,harmful,2156,0.15862708719851581
