checkpoint,position,layer,n,rate,cluster_reads_harmful_rate,refusal_rate
dpo__none,first_gen,8,1000,0.019,0.284,0.21
dpo__none,first_gen,16,1000,0.02,0.253,0.21
dpo__none,first_gen,19,1000,0.02,0.259,0.21
dpo__none,first_gen,24,1000,0.02,0.242,0.21
dpo__none,first_gen,26,1000,0.02,0.239,0.21
dpo__none,first_gen,31,1000,0.02,0.238,0.21
dpo__none,last_prompt,8,1000,0.201,0.027,0.21
dpo__none,last_prompt,16,1000,0.178,0.062,0.21
dpo__none,last_prompt,19,1000,0.189,0.046,0.21
dpo__none,last_prompt,24,1000,0.193,0.046,0.21
dpo__none,last_prompt,26,1000,0.198,0.034,0.21
dpo__none,last_prompt,31,1000,0.202,0.027,0.21
dpo__none,post_instr_0,8,1000,0.067,0.532,0.21
dpo__none,post_instr_0,16,1000,0.03,0.419,0.21
dpo__none,post_instr_0,19,1000,0.035,0.421,0.21
dpo__none,post_instr_0,24,1000,0.038,0.418,0.21
dpo__none,post_instr_0,26,1000,0.038,0.419,0.21
dpo__none,post_instr_0,31,1000,0.044,0.429,0.21
