checkpoint,position,layer,dist_pseudo_to_harmful,dist_pseudo_to_harmless,dist_harmful_to_harmless,pseudo_closer_to_harmless_ratio,cos_pseudo_harmless
dpo__none,last_prompt,8,4.197157382965088,3.6613283157348633,1.9553170204162598,0.8723352454199162,-0.02706652693450451
dpo__none,last_prompt,16,8.394293785095215,7.442617416381836,3.8007211685180664,0.8866281794421871,-0.011067206040024757
dpo__none,last_prompt,19,10.414341926574707,9.091167449951172,5.070361614227295,0.8729468951612644,-0.0010913904989138246
dpo__none,last_prompt,24,13.633990287780762,11.79456615447998,7.248385906219482,0.8650854156065129,0.03371821343898773
dpo__none,last_prompt,26,15.600838661193848,13.246427536010742,8.630681037902832,0.8490843232011903,0.02873503789305687
dpo__none,last_prompt,31,54.64016342163086,43.42144775390625,25.824790954589844,0.7946800491580638,-0.19316259026527405
dpo__none,post_instr_0,8,3.228369951248169,3.2781989574432373,1.9322080612182617,1.0154347261768446,0.32029837369918823
dpo__none,post_instr_0,16,6.234811782836914,6.211519241333008,5.046288013458252,0.9962641147294894,0.40157967805862427
dpo__none,post_instr_0,19,7.418771266937256,7.294221878051758,5.984319686889648,0.9832115879565435,0.38921934366226196
dpo__none,post_instr_0,24,9.320324897766113,9.070152282714844,7.734527111053467,0.9731583804432364,0.3935815989971161
dpo__none,post_instr_0,26,10.39828872680664,10.12348461151123,8.70509147644043,0.9735721787964043,0.3979488015174866
dpo__none,post_instr_0,31,27.440629959106445,27.026931762695312,22.130098342895508,0.9849238812291246,0.3905712962150574
dpo__none,first_gen,8,2.8263323307037354,1.909767746925354,3.1519484519958496,0.6757053040715266,0.4646439552307129
dpo__none,first_gen,16,6.741121768951416,4.588909149169922,8.388808250427246,0.6807337571479187,0.5973101258277893
dpo__none,first_gen,19,10.68517780303955,6.682242393493652,13.60378646850586,0.6253749368206857,0.635519802570343
dpo__none,first_gen,24,17.85268211364746,10.79324722290039,23.58403205871582,0.6045728677737171,0.6953150629997253
dpo__none,first_gen,26,21.58938980102539,12.565180778503418,28.582727432250977,0.5820072218023796,0.7082812190055847
dpo__none,first_gen,31,43.94670104980469,24.792987823486328,56.7203254699707,0.5641603859044731,0.6757522821426392
