checkpoint,position,layer,group,n,divergence_rate
dpo__none,first_gen,8,harmful,565,0.2053097345132744
dpo__none,first_gen,8,harmless,250,0.04800000000000004
dpo__none,first_gen,8,pseudo_harm,1000,0.28400000000000003
dpo__none,first_gen,16,harmful,565,0.21415929203539819
dpo__none,first_gen,16,harmless,250,0.040000000000000036
dpo__none,first_gen,16,pseudo_harm,1000,0.253
dpo__none,first_gen,19,harmful,565,0.21415929203539819
dpo__none,first_gen,19,harmless,250,0.04400000000000004
dpo__none,first_gen,19,pseudo_harm,1000,0.259
dpo__none,first_gen,24,harmful,565,0.21238938053097345
dpo__none,first_gen,24,harmless,250,0.04400000000000004
dpo__none,first_gen,24,pseudo_harm,1000,0.242
dpo__none,first_gen,26,harmful,565,0.21238938053097345
dpo__none,first_gen,26,harmless,250,0.04400000000000004
dpo__none,first_gen,26,pseudo_harm,1000,0.239
dpo__none,first_gen,31,harmful,565,0.21415929203539819
dpo__none,first_gen,31,harmless,250,0.04400000000000004
dpo__none,first_gen,31,pseudo_harm,1000,0.238
dpo__none,last_prompt,8,harmful,565,0.3079646017699115
dpo__none,last_prompt,8,harmless,250,0.26
dpo__none,last_prompt,8,pseudo_harm,1000,0.027000000000000024
dpo__none,last_prompt,16,harmful,565,0.2442477876106195
dpo__none,last_prompt,16,harmless,250,0.268
dpo__none,last_prompt,16,pseudo_harm,1000,0.062000000000000055
dpo__none,last_prompt,19,harmful,565,0.231858407079646
dpo__none,last_prompt,19,harmless,250,0.256
dpo__none,last_prompt,19,pseudo_harm,1000,0.04600000000000004
dpo__none,last_prompt,24,harmful,565,0.23539823008849559
dpo__none,last_prompt,24,harmless,250,0.19999999999999996
dpo__none,last_prompt,24,pseudo_harm,1000,0.04600000000000004
dpo__none,last_prompt,26,harmful,565,0.2619469026548673
dpo__none,last_prompt,26,harmless,250,0.18799999999999994
dpo__none,last_prompt,26,pseudo_harm,1000,0.03400000000000003
dpo__none,last_prompt,31,harmful,565,0.29380530973451324
dpo__none,last_prompt,31,harmless,250,0.248
dpo__none,last_prompt,31,pseudo_harm,1000,0.027000000000000024
dpo__none,post_instr_0,8,harmful,565,0.1805309734513274
dpo__none,post_instr_0,8,harmless,250,0.12
dpo__none,post_instr_0,8,pseudo_harm,1000,0.532
dpo__none,post_instr_0,16,harmful,565,0.2017699115044248
dpo__none,post_instr_0,16,harmless,250,0.040000000000000036
dpo__none,post_instr_0,16,pseudo_harm,1000,0.41900000000000004
dpo__none,post_instr_0,19,harmful,565,0.19823008849557522
dpo__none,post_instr_0,19,harmless,250,0.03600000000000003
dpo__none,post_instr_0,19,pseudo_harm,1000,0.42100000000000004
dpo__none,post_instr_0,24,harmful,565,0.17699115044247793
dpo__none,post_instr_0,24,harmless,250,0.04400000000000004
dpo__none,post_instr_0,24,pseudo_harm,1000,0.41800000000000004
dpo__none,post_instr_0,26,harmful,565,0.15752212389380527
dpo__none,post_instr_0,26,harmless,250,0.04800000000000004
dpo__none,post_instr_0,26,pseudo_harm,1000,0.41900000000000004
dpo__none,post_instr_0,31,harmful,565,0.11681415929203542
dpo__none,post_instr_0,31,harmless,250,0.06799999999999995
dpo__none,post_instr_0,31,pseudo_harm,1000,0.42900000000000005
