source,probe,metric,value,train_on,test_on,layer,position
all,group,cv_accuracy,0.773571678934455,base__none,base__none,8,pre_gen
all,group,majority,0.33613739922888186,base__none,base__none,8,pre_gen
all,behavior,cv_auroc,0.5700365317229553,base__none,base__none,8,pre_gen
all,behavior,refusal_rate,0.1772679874869656,base__none,base__none,8,pre_gen
false_reject,behavior,cv_auroc,0.5997332317073172,base__none,base__none,8,pre_gen
or_bench,behavior,cv_auroc,0.6422091283202395,base__none,base__none,8,pre_gen
xstest,behavior,cv_auroc,0.5510948905109488,base__none,base__none,8,pre_gen
all,group,cv_accuracy,0.7995453606116967,sft__none,sft__none,8,pre_gen
all,group,majority,0.3883033684645588,sft__none,sft__none,8,pre_gen
all,behavior,cv_auroc,0.7620563816215989,sft__none,sft__none,8,pre_gen
all,behavior,refusal_rate,0.4433734939759036,sft__none,sft__none,8,pre_gen
false_reject,behavior,cv_auroc,0.6104677492398266,sft__none,sft__none,8,pre_gen
or_bench,behavior,cv_auroc,0.48260759493670885,sft__none,sft__none,8,pre_gen
xstest,behavior,cv_auroc,0.5802666666666667,sft__none,sft__none,8,pre_gen
all,group,cv_accuracy,0.7991786447638604,dpo__none,dpo__none,8,pre_gen
all,group,majority,0.3868583162217659,dpo__none,dpo__none,8,pre_gen
all,behavior,cv_auroc,0.7973131992185082,dpo__none,dpo__none,8,pre_gen
all,behavior,refusal_rate,0.3506805444355484,dpo__none,dpo__none,8,pre_gen
false_reject,behavior,cv_auroc,0.620390067752373,dpo__none,dpo__none,8,pre_gen
or_bench,behavior,cv_auroc,0.4923994346971839,dpo__none,dpo__none,8,pre_gen
xstest,behavior,cv_auroc,0.7074162679425838,dpo__none,dpo__none,8,pre_gen
all,group,cv_accuracy,0.7991373998767715,final__none,final__none,8,pre_gen
all,group,majority,0.3869377695625385,final__none,final__none,8,pre_gen
all,behavior,cv_auroc,0.799437467972524,final__none,final__none,8,pre_gen
all,behavior,refusal_rate,0.33466773418734985,final__none,final__none,8,pre_gen
false_reject,behavior,cv_auroc,0.6192328975582764,final__none,final__none,8,pre_gen
or_bench,behavior,cv_auroc,0.5153463368566343,final__none,final__none,8,pre_gen
xstest,behavior,cv_auroc,0.7473569084943492,final__none,final__none,8,pre_gen
all,group,transfer_accuracy,0.5459805744988634,base__none,sft__none,8,pre_gen
all,behavior,transfer_auroc,0.45433893803459025,base__none,sft__none,8,pre_gen
all,group,transfer_accuracy,0.5474332648870637,base__none,dpo__none,8,pre_gen
all,behavior,transfer_auroc,0.45205197934789343,base__none,dpo__none,8,pre_gen
all,group,transfer_accuracy,0.5522694598480181,base__none,final__none,8,pre_gen
all,behavior,transfer_auroc,0.4638096718659135,base__none,final__none,8,pre_gen
all,group,transfer_accuracy,0.9279260780287474,sft__none,dpo__none,8,pre_gen
all,behavior,transfer_auroc,0.8807014284186048,sft__none,dpo__none,8,pre_gen
all,group,transfer_accuracy,0.9258574655986855,sft__none,final__none,8,pre_gen
