checkpoint,group,n,incoherent,refusal,refusal_lo,refusal_hi,mean_ga,pd_rate,keyword_refusal
base__none,pseudo_harm,1250.0,0.24160000000000004,0.1719409282700422,0.1492569909718272,0.1972729358563341,2.490506329113924,0.09177215189873418,0.032
base__none,harmful,1885.0,0.2795755968169761,0.4536082474226804,0.4272973367144174,0.48018088982822904,1.7739322533136965,0.29455081001472755,0.17771883289124668
base__none,harmless,1750.0,0.46799999999999997,0.21160042964554243,0.18657581245304908,0.238995321736957,2.284640171858217,0.050483351235230935,0.03542857142857143
sft__none,pseudo_harm,1250.0,0.006399999999999961,0.40982286634460546,0.38279000337460867,0.43741185856353804,1.8816425120772946,0.3752012882447665,0.284
sft__none,harmful,1885.0,0.004774535809018543,0.9040511727078892,0.8898857844163816,0.9165651420872133,0.3800639658848614,0.8880597014925373,0.8281167108753316
sft__none,harmless,1750.0,0.017142857142857126,0.12906976744186047,0.11404735402562323,0.1457454250789071,2.6284883720930234,0.09476744186046511,0.05714285714285714
dpo__none,pseudo_harm,1250.0,0.0,0.3272,0.3017532968454494,0.3537055745143779,2.296,0.304,0.1176
dpo__none,harmful,1885.0,0.0005305039787798504,0.9012738853503185,0.8869765197829642,0.9139381332260594,0.4708067940552017,0.8890658174097664,0.7750663129973475
dpo__none,harmless,1750.0,0.008000000000000007,0.09101382488479262,0.07837119388086228,0.10546255282343539,2.7067972350230414,0.059907834101382486,0.045142857142857144
final__none,pseudo_harm,1250.0,0.0,0.336,0.31035265974428633,0.3626522876111053,2.284,0.3176,0.1304
final__none,harmful,1885.0,0.001061007957559701,0.9006903876792353,0.8863549830589755,0.9133941850746928,0.4997344662772172,0.8900690387679235,0.7851458885941645
final__none,harmless,1750.0,0.0034285714285714475,0.08944954128440367,0.07694180924866208,0.10376197992765689,2.7012614678899083,0.05733944954128441,0.04285714285714286
